Paco,Garcia,pgarcia@hotmail.comm,pgarcia,Nomeolvides1,null
Pepe,Casado,pcasado@gsgsad.com,pcasado,Nomeolvides1,ESO 1A
Ricard,Garcia,rgarcia@gsgsad.com,rgarcia,Nomeolvides1,ESO 1B
Jordi,Perez,jperez@gsgsad.com,jperez,Nomeolvides1,ESO 1C
Lionel,Sanchez,lsanchez@gsgsad.com,lsanchez,Nomeolvides1,ESO 1D
Teresa,Romero,tromero@gsgsad.com,tromero,Nomeolvides1,ESO 1E
Eduardo,Murcia,emurcia@gsgsad.com,emurcia,Nomeolvides1,ESO 2A
Jose,Villareal,jvillareal@gsgsad.com,jvillareal,Nomeolvides1,ESO 2B
Gerard,Soria,gsoria@gsgsad.com,gsoria,Nomeolvides1,ESO 2C
Jaime,casals,gcasals@gsgsad.com,gcasals,Nomeolvides1,ESO 2D
Jaume,Royal,jroyal@gsgsad.com,jroyal,Nomeolvides1,ESO 3A
Xavier,Barcelo,xbarcelo@gsgsad.com,xbarcelo,Nomeolvides1,ESO 3B
Eva,Puigdemont,epuigdemont@gsgsad.com,epuigdemont,Nomeolvides1,ESO 3C
Maria,Fernandez,mfernandez@gsgsad.com,mfernandez,Nomeolvides1,ESO 3D
Laia,Montes,lmontes@gsgsad.com,lmontes,Nomeolvides1,ESO 4A
Carme,Trujillo,ctrujillo@gsgsad.com,ctrujillo,Nomeolvides1,ESO 4B
Marina,Montañes,mmontañes@gsgsad.com,mmontañes,Nomeolvides1,ESO 4C
Rebeca,Cortes,rcortes@gsgsad.com,rcortes,Nomeolvides1,null
Carla,Montesinos,cmontesinos@gsgsad.com,cmontesinos,Nomeolvides1,ESO 4D
Paco,Martin Martin,pmartin@hotmail.com,pmartin,Nomeolvides1,null
Antonio,Garcia Lopez,agarcia@hotmail.com,agarcia,Nomeolvides1,null
